code,entry,exit,entry_p,exit_p,pnl,days,win,bin,month
sh600900,2025-08-21 11:30:00,2025-08-28 10:30:00,27.91,27.95,0.14,6,1,0~2%,2025-08
sh600900,2025-09-02 15:00:00,2025-09-16 14:00:00,28.21,27.71,-1.77,13,0,-2~0%,2025-09
sh600900,2025-10-09 15:00:00,2025-11-13 11:30:00,27.58,28.3,2.61,34,1,2~5%,2025-11
sh600900,2025-12-03 11:30:00,2025-12-08 11:30:00,28.33,28.0,-1.16,5,0,-2~0%,2025-12
sh600900,2025-12-15 11:30:00,2025-12-22 11:30:00,28.06,27.6,-1.64,7,0,-2~0%,2025-12
sh600900,2026-01-07 10:30:00,2026-01-14 15:00:00,27.44,27.07,-1.35,7,0,-2~0%,2026-01
sh600900,2026-01-30 10:30:00,2026-02-12 11:30:00,26.04,26.11,0.27,13,1,0~2%,2026-02
sh600900,2026-03-02 11:30:00,2026-03-23 14:00:00,26.45,26.99,2.04,21,1,2~5%,2026-03
sh600900,2026-04-15 11:30:00,2026-04-29 14:00:00,26.63,26.61,-0.08,14,0,-2~0%,2026-04
sh600900,2026-04-30 11:30:00,2026-05-22 10:30:00,27.23,26.73,-1.84,21,0,-2~0%,2026-05
sh600900,2026-05-26 11:30:00,2026-06-09 15:00:00,27.05,27.63,2.14,14,1,2~5%,2026-06
sz300750,2025-06-11 11:30:00,2025-06-19 14:00:00,250.42,242.76,-3.06,8,0,-5~-2%,2025-06
sz300750,2025-06-24 11:30:00,2025-07-30 15:00:00,247.55,277.68,12.17,36,1,>10%,2025-07
sz300750,2025-08-13 14:00:00,2025-08-20 11:30:00,270.9,273.63,1.01,6,1,0~2%,2025-08
sz300750,2025-08-22 14:00:00,2025-08-28 10:30:00,284.92,276.06,-3.11,5,0,-5~-2%,2025-08
sz300750,2025-08-29 11:30:00,2025-10-10 11:30:00,301.21,391.94,30.12,42,1,>10%,2025-10
sz300750,2025-10-24 11:30:00,2025-11-03 11:30:00,381.05,379.28,-0.46,10,0,-2~0%,2025-11
sz300750,2025-11-06 11:30:00,2025-11-17 11:30:00,397.0,388.49,-2.14,11,0,-5~-2%,2025-11
sz300750,2025-12-02 10:30:00,2025-12-10 11:30:00,383.5,380.29,-0.84,8,0,-2~0%,2025-12
sz300750,2025-12-11 11:30:00,2025-12-18 11:30:00,395.42,371.89,-5.95,7,0,-10~-5%,2025-12
sz300750,2026-01-06 10:30:00,2026-01-12 11:30:00,380.0,354.55,-6.7,6,0,-10~-5%,2026-01
sz300750,2026-02-04 14:00:00,2026-02-24 10:30:00,353.38,372.64,5.45,19,1,5~10%,2026-02
sz300750,2026-03-06 14:00:00,2026-03-24 11:30:00,353.38,395.1,11.81,17,1,>10%,2026-03
sz300750,2026-03-30 10:30:00,2026-04-03 11:30:00,413.0,388.18,-6.01,4,0,-10~-5%,2026-04
sz300750,2026-04-10 11:30:00,2026-04-28 11:30:00,405.35,427.38,5.43,18,1,5~10%,2026-04
sz300750,2026-04-30 10:30:00,2026-05-08 15:00:00,446.5,438.85,-1.71,8,0,-2~0%,2026-05
sz300750,2026-05-27 11:30:00,2026-06-04 11:30:00,421.6,413.45,-1.93,8,0,-2~0%,2026-06
sz000651,2025-06-24 11:30:00,2025-06-30 14:00:00,44.93,44.9,-0.07,6,0,-2~0%,2025-06
sz000651,2025-07-02 11:30:00,2025-07-25 11:30:00,46.47,46.78,0.67,23,1,0~2%,2025-07
sz000651,2025-08-05 14:00:00,2025-08-19 11:30:00,46.6,47.01,0.88,13,1,0~2%,2025-08
sz000651,2025-08-25 15:00:00,2025-08-28 15:00:00,47.95,47.03,-1.92,3,0,-2~0%,2025-08
sz000651,2025-10-10 10:30:00,2025-10-31 11:30:00,40.18,39.92,-0.65,21,0,-2~0%,2025-10
sz000651,2025-11-10 11:30:00,2025-11-17 11:30:00,40.57,40.22,-0.86,7,0,-2~0%,2025-11
sz000651,2025-12-01 15:00:00,2025-12-09 15:00:00,40.8,40.38,-1.03,8,0,-2~0%,2025-12
sz000651,2025-12-12 15:00:00,2025-12-30 11:30:00,40.89,40.55,-0.83,17,0,-2~0%,2025-12
sz000651,2026-01-06 10:30:00,2026-01-12 11:30:00,40.77,40.3,-1.15,6,0,-2~0%,2026-01
sz000651,2026-01-19 11:30:00,2026-01-23 11:30:00,40.51,39.52,-2.44,4,0,-5~-2%,2026-01
sz000651,2026-01-30 10:30:00,2026-02-12 11:30:00,38.85,38.42,-1.11,13,0,-2~0%,2026-02
sz000651,2026-03-09 10:30:00,2026-03-20 15:00:00,37.2,38.24,2.8,11,1,2~5%,2026-03
sz000651,2026-03-25 11:30:00,2026-04-07 11:30:00,37.95,37.21,-1.95,13,0,-2~0%,2026-04
sz000651,2026-04-08 15:00:00,2026-04-13 11:30:00,37.85,37.12,-1.93,4,0,-2~0%,2026-04
sz000651,2026-04-27 11:30:00,2026-05-19 14:00:00,37.49,39.55,5.49,22,1,5~10%,2026-05
sz000651,2026-05-29 11:30:00,2026-06-05 15:00:00,39.12,38.65,-1.2,7,0,-2~0%,2026-06
sh600887,2025-07-09 11:30:00,2025-07-15 14:00:00,27.93,27.3,-2.26,6,0,-5~-2%,2025-07
sh600887,2025-07-17 11:30:00,2025-07-25 14:00:00,27.81,27.97,0.58,8,1,0~2%,2025-07
sh600887,2025-08-19 11:30:00,2025-08-28 10:30:00,27.51,27.79,1.02,8,1,0~2%,2025-08
sh600887,2025-08-29 11:30:00,2025-09-03 15:00:00,29.01,27.81,-4.14,5,0,-5~-2%,2025-09
sh600887,2025-09-12 10:30:00,2025-09-16 11:30:00,28.74,27.94,-2.78,4,0,-5~-2%,2025-09
sh600887,2025-10-09 15:00:00,2025-10-22 15:00:00,27.56,27.3,-0.94,13,0,-2~0%,2025-10
sh600887,2025-10-30 11:30:00,2025-11-25 10:30:00,27.52,28.92,5.09,25,1,5~10%,2025-11
sh600887,2025-12-15 11:30:00,2026-01-06 14:00:00,28.93,28.52,-1.42,22,0,-2~0%,2026-01
sh600887,2026-01-30 10:30:00,2026-02-24 10:30:00,26.7,26.61,-0.34,25,0,-2~0%,2026-02
sh600887,2026-03-06 15:00:00,2026-03-23 10:30:00,26.2,26.2,0.0,16,0,-2~0%,2026-03
sh600887,2026-03-27 15:00:00,2026-04-13 11:30:00,26.21,25.86,-1.34,16,0,-2~0%,2026-04
sh600887,2026-04-29 11:30:00,2026-05-18 11:30:00,26.05,27.25,4.61,19,1,2~5%,2026-05
sh600887,2026-05-29 14:00:00,2026-06-05 11:30:00,26.96,25.9,-3.93,6,0,-5~-2%,2026-06
sh601166,2025-06-03 11:30:00,2025-06-16 10:30:00,23.64,23.6,-0.17,12,0,-2~0%,2025-06
sh601166,2025-06-24 10:30:00,2025-06-27 15:00:00,23.66,23.5,-0.68,3,0,-2~0%,2025-06
sh601166,2025-07-02 15:00:00,2025-07-14 10:30:00,23.94,24.58,2.67,11,1,2~5%,2025-07
sh601166,2025-08-12 14:00:00,2025-08-15 11:30:00,23.2,22.26,-4.05,2,0,-5~-2%,2025-08
sh601166,2025-08-25 11:30:00,2025-08-29 14:00:00,22.86,22.45,-1.79,4,0,-2~0%,2025-08
sh601166,2025-10-14 14:00:00,2025-10-29 14:00:00,20.2,20.09,-0.54,15,0,-2~0%,2025-10
sh601166,2025-11-03 11:30:00,2025-11-24 15:00:00,20.62,21.15,2.57,21,1,2~5%,2025-11
sh601166,2025-12-15 11:30:00,2025-12-17 11:30:00,20.73,20.29,-2.12,2,0,-5~-2%,2025-12
sh601166,2025-12-18 15:00:00,2026-01-05 14:00:00,20.81,20.96,0.72,17,1,0~2%,2026-01
sh601166,2026-01-07 10:30:00,2026-01-08 11:30:00,21.47,20.93,-2.52,1,0,-5~-2%,2026-01
sh601166,2026-02-02 11:30:00,2026-02-06 11:30:00,19.12,18.83,-1.52,4,0,-2~0%,2026-02
sh601166,2026-03-11 14:00:00,2026-03-23 11:30:00,18.65,18.46,-1.02,11,0,-2~0%,2026-03
sh601166,2026-03-24 11:30:00,2026-04-07 11:30:00,18.62,18.63,0.05,14,1,0~2%,2026-04
sh601166,2026-04-15 11:30:00,2026-04-17 14:00:00,18.71,18.44,-1.44,2,0,-2~0%,2026-04
sh601166,2026-05-25 11:30:00,2026-06-09 15:00:00,17.69,18.45,4.3,15,1,2~5%,2026-06
sh600585,2025-06-24 15:00:00,2025-06-27 11:30:00,21.94,21.43,-2.32,2,0,-5~-2%,2025-06
sh600585,2025-07-02 15:00:00,2025-07-16 11:30:00,21.98,22.15,0.77,13,1,0~2%,2025-07
sh600585,2025-07-21 11:30:00,2025-07-25 14:00:00,23.65,24.53,3.72,4,1,2~5%,2025-07
sh600585,2025-08-07 14:00:00,2025-08-19 11:30:00,23.92,23.98,0.25,11,1,0~2%,2025-08
sh600585,2025-08-25 11:30:00,2025-08-28 14:00:00,24.67,24.48,-0.77,3,0,-2~0%,2025-08
sh600585,2025-09-08 14:00:00,2025-09-15 10:30:00,24.19,23.76,-1.78,6,0,-2~0%,2025-09
sh600585,2025-10-09 15:00:00,2025-10-22 15:00:00,23.51,23.64,0.55,13,1,0~2%,2025-10
sh600585,2025-11-07 15:00:00,2025-11-17 11:30:00,23.38,23.4,0.09,9,1,0~2%,2025-11
sh600585,2025-11-20 14:00:00,2025-11-24 14:00:00,23.51,22.91,-2.55,4,0,-5~-2%,2025-11
