没有配置要使用的数据服务，请修改全局配置中的datafeed相关内容
2026-05-21 10:05:57.659 | INFO | AKSHARE | 订阅 600310.SSE (累计 23 只)
2026-05-21 10:05:57.660 | INFO | CtaStrategy | thr_600310初始化完成
2026-05-21 10:05:57.660 | INFO | CtaStrategy | thr_601222开始执行初始化
2026-05-21 10:05:57.662 | INFO | CtaStrategy | [thr_601222]  策略初始化: 601222.SSE
2026-05-21 10:05:57.663 | INFO | CtaStrategy | [thr_601222]    规则: buy_zone=6.4 buy_strong=6.0 trend_break=5.7 take_profit=0.0 auto=False
2026-05-21 10:05:57.663 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='601222', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:57.665 | INFO | AKSHARE | 订阅 601222.SSE (累计 23 只)
2026-05-21 10:05:57.665 | INFO | CtaStrategy | thr_601222初始化完成
2026-05-21 10:05:57.667 | INFO | CtaStrategy | thr_600863开始执行初始化
2026-05-21 10:05:57.667 | INFO | CtaStrategy | [thr_600863]  策略初始化: 600863.SSE
2026-05-21 10:05:57.667 | INFO | CtaStrategy | [thr_600863]    规则: buy_zone=5.2 buy_strong=4.9 trend_break=4.7 take_profit=0.0 auto=False
2026-05-21 10:05:57.668 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600863', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:57.669 | INFO | AKSHARE | 订阅 600863.SSE (累计 23 只)
2026-05-21 10:05:57.671 | INFO | CtaStrategy | thr_600863初始化完成
2026-05-21 10:05:57.671 | INFO | CtaStrategy | thr_605006开始执行初始化
2026-05-21 10:05:57.672 | INFO | CtaStrategy | [thr_605006]  策略初始化: 605006.SSE
2026-05-21 10:05:57.673 | INFO | CtaStrategy | [thr_605006]    规则: buy_zone=14.0 buy_strong=13.0 trend_break=12.2 take_profit=0.0 auto=False
2026-05-21 10:05:57.674 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='605006', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:57.675 | INFO | AKSHARE | 订阅 605006.SSE (累计 23 只)
2026-05-21 10:05:57.676 | INFO | CtaStrategy | thr_605006初始化完成
2026-05-21 10:05:57.676 | INFO | CtaStrategy | thr_603757开始执行初始化
2026-05-21 10:05:57.678 | INFO | CtaStrategy | [thr_603757]  策略初始化: 603757.SSE
2026-05-21 10:05:57.679 | INFO | CtaStrategy | [thr_603757]    规则: buy_zone=62.0 buy_strong=58.0 trend_break=55.0 take_profit=0.0 auto=False
2026-05-21 10:05:57.679 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603757', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:57.681 | INFO | AKSHARE | 订阅 603757.SSE (累计 23 只)
2026-05-21 10:05:57.682 | INFO | CtaStrategy | thr_603757初始化完成
2026-05-21 10:05:57.682 | INFO | CtaStrategy | thr_002156开始执行初始化
2026-05-21 10:05:57.683 | INFO | CtaStrategy | [thr_002156]  策略初始化: 002156.SZSE
2026-05-21 10:05:57.684 | INFO | CtaStrategy | [thr_002156]    规则: buy_zone=60.0 buy_strong=56.0 trend_break=53.0 take_profit=0.0 auto=False
2026-05-21 10:05:57.684 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002156', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.685 | INFO | AKSHARE | 订阅 002156.SZSE (累计 23 只)
2026-05-21 10:05:57.686 | INFO | CtaStrategy | thr_002156初始化完成
2026-05-21 10:05:57.687 | INFO | CtaStrategy | thr_002709开始执行初始化
2026-05-21 10:05:57.687 | INFO | CtaStrategy | [thr_002709]  策略初始化: 002709.SZSE
2026-05-21 10:05:57.687 | INFO | CtaStrategy | [thr_002709]    规则: buy_zone=56.0 buy_strong=53.0 trend_break=50.0 take_profit=0.0 auto=False
2026-05-21 10:05:57.689 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002709', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.690 | INFO | AKSHARE | 订阅 002709.SZSE (累计 23 只)
2026-05-21 10:05:57.691 | INFO | CtaStrategy | thr_002709初始化完成
2026-05-21 10:05:57.692 | INFO | CtaStrategy | thr_002149开始执行初始化
